,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46
ARID4B,0.2384404,0.41098067,1.8949383,0.630417,0.7329476,1.5913792,1.0144459,0.62370855,0.066272736,-0.40401685,-0.93417174,0.60321677,-0.5540237,-0.890592,0.50670964,0.5251738,-1.1578953,-1.8458754,-1.1422122,-0.43386045,-0.6965309,-1.2580804,-0.5309508,-0.5396542
ARID5A,0.09266472,1.4319273,1.6021562,2.7712915,1.7883942,0.85691977,-0.14710717,-0.7846575,-0.25731623,-0.2010773,-0.69789636,-1.1646566,-0.39983702,0.26086876,-1.2251147,-0.9651267,0.35777125,0.30172387,-0.66642755,-0.6260194,-0.8746971,-0.92285556,-1.328119,-1.0739425
ARID5B,-1.206307,0.59031826,1.6850824,2.1388946,1.8472466,1.6829181,1.5539095,1.2901515,0.91796565,0.32286498,-1.8714384,-1.6715084,-1.8323716,-1.3577034,-1.1548792,-1.2272114,0.15700224,-0.8636758,-1.7702695,-2.2707946,-1.4885278,-1.4276851,-0.8778692,0.64282346
ARNT,3.617513,-0.15024464,-0.3317559,-0.46065822,0.5128545,0.27975225,1.1716765,0.24566609,-0.53769916,-0.37332243,-0.54517555,-1.0919403,-1.2061291,-0.88931876,-2.0845518,-1.1654707,-1.3864626,0.63451207,0.959868,-0.3458358,-0.07671647,0.56914204,1.9599886,1.3520541
ARX,1.0605391,-1.0485502,0.21765457,0.5549116,-0.9541202,-0.19971864,2.1932404,0.5512171,-0.37575942,-0.17149468,-0.72799844,1.1160681,-0.82644504,0.44707608,0.048853353,-0.16020042,0.34430602,0.27401146,-1.0331943,-1.1626157,0.089162,0.3055921,-0.3439864,-0.124301076
ASCL1,0.018724171,-0.44851992,-1.4341927,0.14306092,0.32411867,0.26594162,0.5810317,0.48597515,-1.6197213,-1.451499,-0.7123635,-1.9755137,-3.4823434,-0.372101,-1.1995275,-0.71121013,1.2315027,3.2242787,2.5181944,1.2686363,0.91761446,2.0715113,2.492443,2.8092759
ASCL2,3.9766085,0.4360407,0.3491729,-0.12917256,-0.031729195,-0.47596094,-0.20741047,0.033171337,-1.7244455,-1.643338,-0.84149164,-0.33770582,-0.17622387,-0.1759174,0.2255657,0.23892027,-0.29077852,0.47051153,0.75274616,0.47908214,1.0179788,0.8789506,1.1441746,0.67010105
ASH1L,-1.2315413,0.1207056,-0.20398122,2.2265658,-0.18954837,0.010475482,-0.41450536,-0.095543236,0.48470455,-0.17490022,-0.77403355,-1.5330076,-1.507374,-0.16133204,-1.5778775,-1.0358497,2.7935333,0.8645411,-0.16786368,0.10144497,-0.136852,-0.26929706,0.44943836,0.18241645
ASXL1,0.65571606,-1.9145961,-1.7375008,1.3649884,-0.3360131,-0.08628487,0.69296944,0.49710998,0.53137845,-0.22225015,-1.1091558,-1.1925094,-0.23687372,-0.83058834,0.22465135,-0.35252845,1.7552364,1.4937539,1.9620473,-0.0241631,1.4448884,0.27856448,-0.6555162,-1.1943192
ATF1,4.107304,2.3246977,1.2810924,1.7840335,0.6315304,0.123985164,-0.8423208,-1.7134647,-0.20266244,-0.18041018,-3.3926368,-1.24852,-2.1459804,-0.6660395,-1.2108681,-0.9798751,-0.6820863,0.49658173,-0.32144085,-0.6192188,-0.36561695,-0.114550024,-0.29589328,0.3864401
